house_value,Crime_Rate,Charles_river_bound,num_of_rooms,dist_to_employment_center,property_tax_rate,student_teacher_ratio,Nitric_Oxides,accessiblity_to_highway
247000,0.0578,No,7,3.4217,270,17.8,0.489,2
289000,0.0583,No,7,3.4145,270,17.8,0.489,2
228000,0.0497,No,6,3.0923,270,17.8,0.489,2
221000,0.0372,No,6,3.0921,270,17.8,0.489,2
230000,0.0406,No,6,3.6659,270,18.2,0.464,4
261000,0.0272,No,6,3.6659,270,18.2,0.464,4
207000,0.0453,No,6,3.615,270,18.2,0.464,4
289000,0.111,No,7,3.4952,276,18,0.445,2
225000,0.1129,No,6,3.4952,276,18,0.445,2
389000,0.1234,No,8,3.4952,276,18,0.445,2
447000,0.0828,No,8,3.4952,276,18,0.445,2
342000,0.0654,No,7,3.4952,276,18,0.445,2
286000,0.1552,No,7,2.7778,384,20.9,0.52,5
273000,0.125,No,7,2.8561,384,20.9,0.52,5
186000,0.2402,No,6,2.7147,384,20.9,0.52,5
195000,0.2327,No,6,2.7147,384,20.9,0.52,5
204000,0.1285,No,6,2.421,384,20.9,0.52,5
205000,0.1457,No,6,2.1069,384,20.9,0.52,5
210000,0.1576,No,6,2.211,384,20.9,0.52,5
219000,0.1437,No,6,2.1224,384,20.9,0.52,5
211000,0.14,No,6,2.4329,384,20.9,0.52,5
198000,0.2469,No,6,2.5451,384,20.9,0.52,5
225000,0.1123,No,6,2.7778,384,20.9,0.52,5
236000,0.0968,No,7,2.6775,432,17.8,0.547,6
197000,0.1158,No,6,2.3534,432,17.8,0.547,6
199000,0.2235,No,6,2.548,432,17.8,0.547,6
187000,0.143,No,6,2.2565,432,17.8,0.547,6
195000,0.1566,No,6,2.4631,432,17.8,0.547,6
218000,0.1282,No,6,2.7301,432,17.8,0.547,6
194000,0.1611,No,6,2.7474,432,17.8,0.547,6
215000,0.1211,No,6,2.4775,432,17.8,0.547,6
197000,0.1367,No,6,2.7592,432,17.8,0.547,6
232000,0.074,No,6,2.2577,188,19.1,0.581,2
217000,0.0726,No,6,2.1974,188,19.1,0.581,2
213000,0.0861,No,6,2.0869,188,19.1,0.581,2
180000,0.1566,No,6,1.9444,188,19.1,0.581,2
194000,0.0887,No,6,2.0063,188,19.1,0.581,2
226000,0.1636,No,6,1.9929,188,19.1,0.581,2
170000,0.3782,No,6,1.7572,188,19.1,0.581,2
170000,0.257,No,6,1.7883,437,21.2,0.624,4
190000,0.3553,No,6,1.8125,437,21.2,0.624,4
156000,0.8573,No,6,1.9799,437,21.2,0.624,4
200000,0.3451,No,6,2.1185,437,21.2,0.624,4
209000,1.2278,No,6,2.271,437,21.2,0.624,4
234000,0.5687,No,6,2.3274,437,21.2,0.624,4
189000,0.3586,No,6,2.4699,437,21.2,0.624,4
169000,1.0292,No,6,2.346,437,21.2,0.624,4
185000,0.5595,No,6,2.1107,437,21.2,0.624,4
187000,0.3052,No,6,1.9669,437,21.2,0.624,4
182000,0.3771,No,6,1.8498,437,21.2,0.624,4
136000,0.2313,No,6,1.6686,437,21.2,0.624,4
182000,0.5913,No,6,1.6687,437,21.2,0.624,4
148000,0.2656,No,6,1.6119,437,21.2,0.624,4
147000,1.5312,No,5,1.4394,437,21.2,0.624,4
140000,3.3606,Yes,5,1.3216,403,14.7,0.871,5
167000,4.1903,No,5,1.4118,403,14.7,0.871,5
128000,2.5325,No,5,1.3459,403,14.7,0.871,5
143000,2.264,No,6,1.4191,403,14.7,0.871,5
167000,2.3227,No,6,1.5166,403,14.7,0.871,5
150000,2.2831,No,5,1.4608,403,14.7,0.871,5
189000,2.2183,No,5,1.5296,403,14.7,0.871,5
169000,2.9868,No,6,1.5257,403,14.7,0.871,5
228000,1.6675,No,6,1.618,403,14.7,0.871,5
201000,1.5545,No,5,1.5916,403,14.7,0.871,5
162000,1.0602,Yes,5,1.6102,403,14.7,0.871,5
206000,2.3258,No,6,1.6232,403,14.7,0.871,5
171000,1.4352,Yes,6,1.7494,403,14.7,0.871,5
162000,3.2443,Yes,6,1.7455,403,14.7,0.871,5
131000,2.2637,No,5,1.7364,403,14.7,0.871,5
419000,1.2009,No,7,1.8773,403,14.7,0.605,5
250000,1.3564,No,6,1.7573,403,14.7,0.605,5
243000,1.4118,No,7,1.7659,403,14.7,0.871,5
280000,1.2494,Yes,6,1.7984,403,14.7,0.605,5
503000,1.4741,No,7,1.9709,403,14.7,0.605,5
511000,1.7447,Yes,8,2.0407,403,14.7,0.605,5
501000,1.5475,Yes,8,2.162,403,14.7,0.605,5
235000,2.2025,No,6,2.422,403,14.7,0.605,5
260000,2.8124,No,6,2.2834,403,14.7,0.605,5
503000,1.9401,No,8,2.0459,403,14.7,0.605,5
239000,1.882,No,6,2.4259,403,14.7,0.605,5
251000,2.473,No,6,2.1,403,14.7,0.605,5
228000,2.4117,No,6,2.2625,403,14.7,0.605,5
188000,1.194,No,6,2.4259,403,14.7,0.605,5
195000,2.4278,No,6,2.3887,403,14.7,0.605,5
233000,0.1509,No,6,2.5961,296,16.6,0.51,5
243000,0.0861,No,6,2.6463,296,16.6,0.51,5
227000,0.0843,No,6,2.7019,296,16.6,0.51,5
298000,0.0719,No,7,3.1323,296,16.6,0.51,5
247000,0.0635,No,6,3.5549,296,16.6,0.51,5
258000,0.0584,No,6,3.3175,296,16.6,0.51,5
313000,0.0681,No,7,2.9153,296,16.6,0.51,5
384000,0.054,No,7,2.829,193,17.8,0.488,3
407000,0.0716,No,8,2.741,193,17.8,0.488,3
375000,0.0687,No,6,2.5979,193,17.8,0.488,3
393000,0.0845,No,7,2.7006,193,17.8,0.488,3
338000,0.0996,No,7,2.847,193,17.8,0.488,3
273000,0.0842,No,6,2.9879,193,17.8,0.488,3
299000,0.0592,No,6,3.2797,193,17.8,0.488,3
510000,0.0517,No,8,3.1992,193,17.8,0.488,3
324000,0.079,No,7,3.7886,398,15.2,0.437,5
311000,0.1229,No,7,4.5667,398,15.2,0.437,5
364000,0.0859,No,7,4.5667,398,15.2,0.437,5
381000,0.088,No,7,6.4798,398,15.2,0.437,5
317000,0.0692,No,7,6.4798,398,15.2,0.437,5
365000,0.0811,No,7,6.4798,398,15.2,0.437,5
322000,0.0214,No,7,6.2196,265,15.6,0.401,1
299000,0.0158,No,7,6.2196,265,15.6,0.401,1
508000,0.015,No,8,5.6484,255,14.4,0.422,4
339000,0.0414,No,7,7.309,329,12.6,0.404,2
317000,0.0468,No,7,7.309,329,12.6,0.404,2
352000,0.0377,No,7,7.309,329,12.6,0.404,2
362000,0.0334,No,7,7.6534,402,17,0.403,3
338000,0.0162,No,7,7.6534,402,17,0.403,3
248000,0.0377,No,6,6.27,348,14.7,0.415,2
426000,0.0204,No,8,6.27,348,14.7,0.415,2
488000,0.0316,No,8,5.118,224,14.7,0.4161,4
514000,0.0198,No,8,5.118,224,14.7,0.4161,4
226000,0.1398,No,6,3.9454,277,18.6,0.489,4
253000,0.2442,No,6,4.3549,277,18.6,0.489,4
229000,0.2513,No,6,4.3549,277,18.6,0.489,4
244000,0.1282,Yes,6,4.2392,277,18.6,0.489,4
213000,0.4056,Yes,5,3.875,277,18.6,0.489,4
229000,0.1795,Yes,6,3.8771,277,18.6,0.489,4
205000,0.4008,Yes,5,3.665,277,18.6,0.489,4
231000,0.218,Yes,6,3.6526,277,18.6,0.489,4
289000,0.1279,No,6,3.9454,277,18.6,0.489,4
252000,0.2863,No,5,3.5875,277,18.6,0.489,4
254000,0.182,No,6,3.9454,277,18.6,0.489,4
243000,0.0462,Yes,6,3.1121,276,16.4,0.55,5
290000,0.0669,No,7,3.4211,276,16.4,0.55,5
226000,0.106,Yes,6,2.8893,276,16.4,0.55,5
240000,0.1252,Yes,6,3.3633,276,16.4,0.55,5
272000,0.381,Yes,7,2.8617,307,17.4,0.507,8
231000,0.4388,Yes,6,3.048,307,17.4,0.507,8
280000,0.6509,Yes,7,3.2721,307,17.4,0.507,8
315000,0.6156,No,7,3.2721,307,17.4,0.507,8
451000,0.2945,No,8,2.8944,307,17.4,0.504,8
512000,0.5482,No,9,2.8944,307,17.4,0.504,8
376000,0.3557,No,8,3.2157,307,17.4,0.504,8
316000,0.3953,No,7,3.2157,307,17.4,0.504,8
479000,0.2808,No,8,3.3751,307,17.4,0.504,8
328000,0.4382,No,7,3.3751,307,17.4,0.504,8
245000,0.5881,No,6,3.6715,307,17.4,0.504,8
323000,0.4354,No,7,3.6715,307,17.4,0.504,8
423000,0.5929,No,8,3.8384,307,17.4,0.507,8
496000,0.3384,No,8,3.6519,307,17.4,0.507,8
297000,0.4417,Yes,7,3.6519,307,17.4,0.507,8
252000,0.3518,No,6,3.6519,307,17.4,0.507,8
260000,0.5457,Yes,7,4.148,307,17.4,0.507,8
324000,0.5247,No,7,4.148,307,17.4,0.507,8
241000,0.0859,No,6,6.1899,300,16.6,0.428,6
243000,0.0931,No,7,6.1899,300,16.6,0.428,6
231000,0.1157,No,7,6.3361,300,16.6,0.428,6
215000,0.1047,No,6,6.3361,300,16.6,0.428,6
230000,0.109,No,6,7.0355,300,16.6,0.428,6
241000,0.1265,No,6,7.0355,300,16.6,0.428,6
187000,0.1951,No,6,7.9549,330,19.1,0.431,7
199000,0.1801,No,6,7.9549,330,19.1,0.431,7
249000,0.359,No,6,8.0555,330,19.1,0.431,7
216000,0.2096,No,6,8.0555,330,19.1,0.431,7
257000,0.1501,No,6,7.8265,330,19.1,0.431,7
270000,0.1919,No,7,7.8265,330,19.1,0.431,7
254000,0.141,No,6,7.3967,330,19.1,0.431,7
252000,0.2089,No,6,7.3967,330,19.1,0.431,7
301000,0.0856,No,7,8.9067,330,19.1,0.431,7
436000,0.3424,No,8,8.9067,330,19.1,0.431,7
227000,0.0469,No,6,9.2203,315,16.4,0.392,1
222000,0.0328,No,6,9.2203,315,16.4,0.392,1
449000,0.0144,No,7,6.3361,244,15.9,0.394,3
505000,0.6159,No,9,1.801,264,13,0.647,5
365000,0.679,No,7,1.8946,264,13,0.647,5
316000,0.6682,No,7,2.0107,264,13,0.647,5
340000,0.5493,No,7,2.1121,264,13,0.647,5
435000,0.4895,No,8,2.1398,264,13,0.647,5
489000,0.5334,No,8,2.2885,264,13,0.647,5
319000,0.8447,No,7,2.0788,264,13,0.647,5
372000,0.5833,No,7,1.9301,264,13,0.647,5
240000,0.7447,No,6,1.9865,264,13,0.647,5
319000,0.8325,No,7,2.1329,264,13,0.647,5
509000,0.5618,No,8,2.4216,264,13,0.575,5
442000,0.4935,No,7,2.872,264,13,0.575,5
211000,0.099,Yes,6,3.9175,223,18.6,0.464,3
216000,0.3148,No,6,4.429,223,18.6,0.464,3
258000,0.1728,No,6,4.429,223,18.6,0.464,3
247000,0.1096,No,7,3.9175,223,18.6,0.464,3
355000,0.2158,Yes,8,4.3665,223,18.6,0.464,3
338000,0.0536,Yes,7,4.0776,254,17.6,0.447,4
328000,0.0915,No,7,4.2673,254,17.6,0.447,4
344000,0.1056,Yes,7,4.7872,254,17.6,0.447,4
331000,0.0575,Yes,7,4.8628,254,17.6,0.447,4
297000,0.0797,No,6,4.1403,254,17.6,0.447,4
355000,0.192,No,7,4.1007,216,14.9,0.4429,5
457000,0.0341,No,8,4.6947,216,14.9,0.4429,5
361000,0.0371,No,7,5.2447,216,14.9,0.4429,5
475000,0.0555,Yes,8,5.2119,216,14.9,0.4429,5
511000,0.016,Yes,8,5.885,198,13.6,0.401,1
330000,0.0082,No,7,7.3073,285,15.3,0.4,1
230000,0.01,No,6,7.3073,300,15.3,0.389,1
206000,0.0182,No,6,9.0892,241,18.2,0.385,1
236000,0.0373,No,6,7.3172,293,16.6,0.405,6
224000,0.0442,No,6,7.3172,293,16.6,0.405,6
258000,0.0414,No,7,7.3172,293,16.6,0.405,6
296000,0.0377,No,7,5.1167,245,19.2,0.411,4
379000,0.0802,No,7,5.1167,245,19.2,0.411,4
288000,0.0351,No,7,5.1167,245,19.2,0.411,4
243000,0.0836,No,6,5.5027,289,16,0.437,4
230000,0.0763,No,6,5.5027,289,16,0.437,4
295000,0.13,No,7,5.9604,289,16,0.437,4
285000,0.0523,No,7,5.9604,289,16,0.437,4
212000,0.1498,No,6,6.32,289,16,0.437,4
234000,0.0704,No,6,7.8278,358,14.8,0.4,5
299000,0.0588,No,7,7.8278,358,14.8,0.4,5
258000,0.0476,No,7,7.8278,358,14.8,0.4,5
220000,0.0324,No,7,5.4917,329,16.1,0.433,7
275000,0.0898,No,6,5.4917,329,16.1,0.433,7
339000,0.101,No,7,5.4917,329,16.1,0.433,7
372000,0.0499,No,7,4.022,222,18.4,0.472,7
298000,0.0584,No,7,3.37,222,18.4,0.472,7
336000,0.0809,No,7,3.0992,222,18.4,0.472,7
293000,0.0529,No,7,3.1827,222,18.4,0.472,7
229000,0.5,No,7,3.3175,304,18.4,0.544,4
206000,0.3476,No,6,3.1025,304,18.4,0.544,4
168000,2.4739,No,5,2.5194,304,18.4,0.544,4
227000,0.7793,No,6,2.6403,304,18.4,0.544,4
200000,0.2576,No,6,2.834,304,18.4,0.544,4
226000,0.2533,No,6,3.2628,304,18.4,0.544,4
251000,0.4019,No,7,3.6023,304,18.4,0.544,4
165000,0.2608,No,6,3.945,304,18.4,0.544,4
180000,0.301,No,6,3.9986,304,18.4,0.544,4
205000,0.2418,No,6,4.0317,304,18.4,0.544,4
244000,0.4067,No,6,3.5325,304,18.4,0.544,4
222000,0.4326,No,6,4.0019,304,18.4,0.544,4
240000,0.1614,No,6,4.5404,287,19.6,0.493,5
238000,0.1987,No,6,4.5404,287,19.6,0.493,5
219000,0.3819,No,6,4.7211,287,19.6,0.493,5
195000,0.2938,No,6,4.7211,287,19.6,0.493,5
258000,0.3318,No,6,4.7211,287,19.6,0.493,5
254000,0.1994,No,6,5.4159,287,19.6,0.493,5
244000,0.3254,No,6,5.4159,287,19.6,0.493,5
223000,0.2631,No,6,5.4159,287,19.6,0.493,5
206000,0.0717,No,6,5.2146,430,16.9,0.46,4
233000,0.0666,No,6,5.2146,430,16.9,0.46,4
209000,0.0437,No,6,5.8736,430,16.9,0.46,4
184000,0.0511,No,6,6.6407,304,16.9,0.4379,1
198000,0.0353,No,6,6.6407,304,16.9,0.4379,1
223000,0.0533,No,6,6.4584,224,20.2,0.515,5
218000,0.0403,No,6,6.4584,224,20.2,0.515,5
212000,0.0413,No,6,5.9853,224,20.2,0.515,5
201000,0.0324,No,6,5.2311,224,20.2,0.515,5
187000,0.0321,No,6,5.615,224,20.2,0.515,5
214000,0.0362,No,6,4.8122,224,20.2,0.515,5
192000,0.0525,No,6,4.8122,224,20.2,0.515,5
192000,0.0563,No,6,4.8122,224,20.2,0.515,5
329000,0.0133,No,7,7.0379,284,15.5,0.442,1
179000,0.023,No,7,6.2669,422,15.9,0.518,1
254000,0.0236,No,7,5.7321,370,17.6,0.484,5
320000,0.0327,No,7,6.4654,370,17.6,0.484,5
188000,0.0303,No,6,8.0136,352,18.8,0.442,3
175000,0.0618,No,6,8.0136,352,18.8,0.442,3
237000,0.0204,No,7,8.5353,351,17.9,0.429,4
257000,0.0138,No,7,8.344,280,17,0.435,4
271000,0.0306,No,7,8.7921,335,19.7,0.429,1
239000,0.0559,No,6,8.7921,335,19.7,0.429,1
253000,0.072,No,7,10.7103,411,18.3,0.411,4
195000,0.0744,No,6,10.7103,411,18.3,0.411,4
303000,0.0167,No,7,12.1265,187,17,0.41,5
186000,0.0466,No,6,10.5857,334,22,0.413,4
216000,0.0967,No,6,10.5857,334,22,0.413,4
180000,8.6102,Yes,6,2.1222,666,20.2,0.77,24
228000,4.209,Yes,6,2.5052,666,20.2,0.77,24
229000,4.8511,Yes,6,2.7227,666,20.2,0.77,24
228000,4.6691,No,6,2.5091,666,20.2,0.77,24
261000,4.8151,No,6,2.5182,666,20.2,0.77,24
203000,3.9844,No,6,2.2955,666,20.2,0.77,24
213000,3.3134,No,5,2.1036,666,20.2,0.77,24
171000,3.9224,Yes,6,1.9047,666,20.2,0.77,24
221000,3.5643,Yes,9,1.9047,666,20.2,0.718,24
277000,4.131,No,4,1.6132,666,20.2,0.718,24
225000,3.5072,No,5,1.7523,666,20.2,0.718,24
242000,14.0757,No,4,1.5106,666,20.2,0.631,24
507000,5.1551,No,5,1.3325,666,20.2,0.631,24
508000,5.5407,Yes,7,1.3567,666,20.2,0.631,24
511000,6.5264,Yes,7,1.2024,666,20.2,0.631,24
512000,8.4693,No,6,1.1691,666,20.2,0.631,24
507000,8.9642,Yes,6,1.1296,666,20.2,0.668,24
149000,11.7783,No,5,1.1742,666,20.2,0.668,24
150000,20.2389,No,4,1.137,666,20.2,0.668,24
157000,20.68,No,7,1.3163,666,20.2,0.671,24
139000,16.3766,No,7,1.3449,666,20.2,0.671,24
147000,9.4784,No,7,1.358,666,20.2,0.671,24
138000,25.9202,No,6,1.3861,666,20.2,0.671,24
103000,17.7154,No,6,1.3861,666,20.2,0.671,24
119000,92.5593,No,7,1.4165,666,20.2,0.671,24
117000,16.5876,No,7,1.5192,666,20.2,0.671,24
118000,8.5355,No,6,1.5804,666,20.2,0.7,24
135000,7.7799,No,6,1.5331,666,20.2,0.7,24
98000,21.7722,No,4,1.4395,666,20.2,0.7,24
84000,17.0559,No,5,1.4261,666,20.2,0.7,24
115000,26.7546,No,5,1.4672,666,20.2,0.7,24
78000,20.9064,No,5,1.5184,666,20.2,0.7,24
115000,14.7714,No,5,1.5895,666,20.2,0.7,24
119000,8.1309,No,5,1.7281,666,20.2,0.7,24
158000,7.1014,No,6,1.9265,666,20.2,0.7,24
238000,5.1088,No,6,2.1678,666,20.2,0.7,24
109000,10.9848,No,5,1.77,666,20.2,0.7,24
149000,9.4715,No,6,1.7912,666,20.2,0.693,24
138000,14.4014,No,6,1.7821,666,20.2,0.693,24
146000,9.5747,No,6,1.7257,666,20.2,0.693,24
135000,6.3659,No,6,1.6768,666,20.2,0.693,24
98000,7.8619,No,6,1.6334,666,20.2,0.693,24
64000,41.398,No,5,1.4896,666,20.2,0.693,24
65000,8.9963,No,6,1.5004,666,20.2,0.693,24
64000,27.0969,No,6,1.5888,666,20.2,0.693,24
75000,15.4105,No,6,1.5741,666,20.2,0.693,24
130000,10.3207,No,6,1.639,666,20.2,0.693,24
85000,25.1131,No,5,1.7028,666,20.2,0.693,24
93000,39.1825,No,6,1.6074,666,20.2,0.693,24
63000,63.2703,No,6,1.4254,666,20.2,0.693,24
132000,20.9833,No,4,1.1781,666,20.2,0.659,24
280000,12.9562,No,6,1.2852,666,20.2,0.659,24
175000,8.0833,No,6,1.4547,666,20.2,0.597,24
283000,14.4416,No,7,1.4655,666,20.2,0.597,24
157000,50.6011,No,6,1.413,666,20.2,0.597,24
186000,14.4848,No,7,1.5275,666,20.2,0.597,24
183000,19.9276,No,5,1.5539,666,20.2,0.597,24
163000,27.7296,No,5,1.5894,666,20.2,0.597,24
84000,49.6616,No,5,1.6582,666,20.2,0.693,24
84000,17.2504,No,6,1.8347,666,20.2,0.679,24
84000,11.3015,No,7,1.8195,666,20.2,0.679,24
106000,28.2579,No,5,1.6475,666,20.2,0.679,24
101000,80.7754,No,6,1.8026,666,20.2,0.679,24
85000,11.7846,No,7,1.794,666,20.2,0.718,24
171000,11.5036,No,6,1.8589,666,20.2,0.718,24
156000,6.4378,No,6,1.8746,666,20.2,0.718,24
210000,12.7974,No,6,1.9512,666,20.2,0.614,24
149000,7.2418,No,6,2.0218,666,20.2,0.614,24
131000,7.9923,No,6,2.0635,666,20.2,0.584,24
85000,17.0221,No,6,1.9096,666,20.2,0.679,24
107000,11.464,No,6,1.9976,666,20.2,0.584,24
124000,36.2466,No,6,1.8629,666,20.2,0.679,24
123000,7.4976,No,6,1.9356,666,20.2,0.679,24
109000,10.0648,No,6,1.9682,666,20.2,0.679,24
159000,8.9878,No,6,2.0527,666,20.2,0.584,24
145000,9.671,No,7,2.0882,666,20.2,0.584,24
164000,5.8661,No,6,2.2004,666,20.2,0.584,24
148000,6.0934,No,6,2.3158,666,20.2,0.713,24
120000,12.6518,No,6,2.2222,666,20.2,0.713,24
139000,11.6435,No,7,2.1247,666,20.2,0.74,24
111000,15.3339,No,6,2.0026,666,20.2,0.74,24
89000,16.3788,No,6,1.9142,666,20.2,0.74,24
97000,12.4912,No,6,1.8206,666,20.2,0.74,24
140000,8.8358,No,6,1.8172,666,20.2,0.74,24
115000,20.899,No,6,1.8662,666,20.2,0.74,24
172000,9.7861,No,6,2.0651,666,20.2,0.74,24
185000,5.3531,No,6,2.0048,666,20.2,0.74,24
154000,10.6076,No,6,1.9784,666,20.2,0.74,24
111000,13.727,No,6,1.8956,666,20.2,0.74,24
125000,10.3754,No,6,1.9879,666,20.2,0.74,24
163000,6.1251,No,6,2.072,666,20.2,0.74,24
128000,9.6031,No,6,2.198,666,20.2,0.74,24
141000,9.3087,No,6,2.2616,666,20.2,0.713,24
132000,6.8943,No,6,2.185,666,20.2,0.713,24
143000,6.8897,No,7,2.3236,666,20.2,0.713,24
156000,5.1766,No,7,2.3552,666,20.2,0.713,24
174000,5.2932,No,6,2.3682,666,20.2,0.713,24
188000,9.0038,No,7,2.4527,666,20.2,0.713,24
159000,9.178,No,7,2.4961,666,20.2,0.713,24
155000,5.0347,No,7,2.4358,666,20.2,0.713,24
139000,4.5114,No,6,2.5806,666,20.2,0.713,24
149000,8.396,No,6,2.7792,666,20.2,0.713,24
156000,7.1979,No,6,2.7831,666,20.2,0.713,24
207000,7.2261,No,6,2.7175,666,20.2,0.713,24
179000,4.7752,No,7,2.5975,666,20.2,0.713,24
178000,4.02,No,6,2.5671,666,20.2,0.713,24
195000,6.7214,No,6,2.7344,666,20.2,0.713,24
209000,5.6977,No,7,2.8016,666,20.2,0.713,24
225000,7.9915,No,6,2.9634,666,20.2,0.655,24
214000,3.09,No,6,3.0665,666,20.2,0.655,24
192000,3.5604,No,6,2.8715,666,20.2,0.655,24
198000,4.1962,No,6,2.5403,666,20.2,0.584,24
204000,15.6617,No,6,2.9084,666,20.2,0.58,24
215000,13.5514,No,6,2.8237,666,20.2,0.58,24
204000,4.2708,No,6,3.0334,666,20.2,0.58,24
211000,4.4385,No,6,3.0993,666,20.2,0.532,24
246000,3.8407,No,6,2.8965,666,20.2,0.58,24
305000,4.7472,No,7,2.5329,666,20.2,0.614,24
143000,8.7726,No,5,2.4298,666,20.2,0.584,24
147000,6.7389,No,6,2.206,666,20.2,0.584,24
176000,5.0256,No,6,2.3053,666,20.2,0.614,24
128000,14.6565,No,5,2.1007,666,20.2,0.614,24
150000,9.6662,No,6,2.1705,666,20.2,0.614,24
224000,15.1813,No,6,1.9512,666,20.2,0.614,24
241000,6.2107,No,6,3.4242,666,20.2,0.532,24
243000,6.1035,No,7,3.3317,666,20.2,0.532,24
